size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Depth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
8,Breadth-First Search,100.0,19.4,6.3181636508713455,9.0,15.0,19.0,25.0,31.0
8,Depth-First Search,100.0,19.76,7.156433850357694,9.0,13.0,19.0,25.0,31.0
16,Breadth-First Search,100.0,76.63,28.96276083441486,24.0,53.0,72.5,102.25,127.0
16,Depth-First Search,100.0,80.7,29.945910835330682,21.0,53.0,83.0,109.0,127.0
32,Breadth-First Search,100.0,297.99,129.4743447930746,55.0,203.0,281.5,415.0,508.0
32,Depth-First Search,100.0,301.42,127.48326727199704,53.0,194.5,317.0,413.0,507.0
64,Breadth-First Search,100.0,1091.22,506.83295875545434,197.0,681.25,1000.0,1553.75,2039.0
64,Depth-First Search,100.0,1024.06,503.9702135658576,193.0,625.0,935.0,1440.0,2015.0
