maze_code,search_name,size,runtime,num_explored,num_solution
04_001,Depth-First Search,4,2.0789,5,5
04_002,Depth-First Search,4,0.1137,5,5
04_003,Depth-First Search,4,0.0525,5,5
04_004,Depth-First Search,4,0.0497,5,5
04_005,Depth-First Search,4,0.0508,5,5
04_006,Depth-First Search,4,0.0565,5,5
04_007,Depth-First Search,4,0.0546,5,5
04_008,Depth-First Search,4,0.0497,5,5
04_009,Depth-First Search,4,0.0519,5,5
04_010,Depth-First Search,4,0.0405,5,5
04_011,Depth-First Search,4,0.0356,5,5
04_012,Depth-First Search,4,0.0480,5,5
04_013,Depth-First Search,4,0.0430,5,5
04_014,Depth-First Search,4,0.0360,5,5
04_015,Depth-First Search,4,0.0357,5,5
04_016,Depth-First Search,4,0.0370,5,5
04_017,Depth-First Search,4,0.0342,5,5
04_018,Depth-First Search,4,0.0351,5,5
04_019,Depth-First Search,4,0.0345,5,5
04_020,Depth-First Search,4,0.0467,5,5
04_021,Depth-First Search,4,0.0356,5,5
04_022,Depth-First Search,4,0.0507,5,5
04_023,Depth-First Search,4,0.0318,5,5
04_024,Depth-First Search,4,0.0339,5,5
04_025,Depth-First Search,4,0.0340,5,5
04_026,Depth-First Search,4,0.0422,5,5
04_027,Depth-First Search,4,0.0437,5,5
04_028,Depth-First Search,4,0.0326,5,5
04_029,Depth-First Search,4,0.0347,5,5
04_030,Depth-First Search,4,0.0310,5,5
04_031,Depth-First Search,4,0.0319,5,5
04_032,Depth-First Search,4,0.0296,5,5
04_033,Depth-First Search,4,0.0418,5,5
04_034,Depth-First Search,4,0.0273,5,5
04_035,Depth-First Search,4,0.0316,5,5
04_036,Depth-First Search,4,0.0269,5,5
04_037,Depth-First Search,4,0.0339,5,5
04_038,Depth-First Search,4,0.0287,5,5
04_039,Depth-First Search,4,0.0288,5,5
04_040,Depth-First Search,4,0.0274,5,5
04_041,Depth-First Search,4,0.0262,5,5
04_042,Depth-First Search,4,0.0258,5,5
04_043,Depth-First Search,4,0.0279,5,5
04_044,Depth-First Search,4,0.0256,5,5
04_045,Depth-First Search,4,0.0267,5,5
04_046,Depth-First Search,4,0.0250,5,5
04_047,Depth-First Search,4,0.0307,5,5
04_048,Depth-First Search,4,0.0251,5,5
04_049,Depth-First Search,4,0.0341,5,5
04_050,Depth-First Search,4,0.0303,5,5
04_051,Depth-First Search,4,0.0253,5,5
04_052,Depth-First Search,4,0.0370,5,5
04_053,Depth-First Search,4,0.0357,5,5
04_054,Depth-First Search,4,0.0252,5,5
04_055,Depth-First Search,4,0.0234,5,5
04_056,Depth-First Search,4,0.0234,5,5
04_057,Depth-First Search,4,0.0256,5,5
04_058,Depth-First Search,4,0.0251,5,5
04_059,Depth-First Search,4,0.0242,5,5
04_060,Depth-First Search,4,0.0331,5,5
04_061,Depth-First Search,4,0.0236,5,5
04_062,Depth-First Search,4,0.0229,5,5
04_063,Depth-First Search,4,0.0224,5,5
04_064,Depth-First Search,4,0.0271,5,5
04_065,Depth-First Search,4,0.0245,5,5
04_066,Depth-First Search,4,0.0218,5,5
04_067,Depth-First Search,4,0.0217,5,5
04_068,Depth-First Search,4,0.0227,5,5
04_069,Depth-First Search,4,0.0227,5,5
04_070,Depth-First Search,4,0.0221,5,5
04_071,Depth-First Search,4,0.0216,5,5
04_072,Depth-First Search,4,0.0223,5,5
04_073,Depth-First Search,4,0.0216,5,5
04_074,Depth-First Search,4,0.0216,5,5
04_075,Depth-First Search,4,0.0226,5,5
04_076,Depth-First Search,4,0.0229,5,5
04_077,Depth-First Search,4,0.0275,5,5
04_078,Depth-First Search,4,0.0221,5,5
04_079,Depth-First Search,4,0.0232,5,5
04_080,Depth-First Search,4,0.0214,5,5
04_081,Depth-First Search,4,0.0479,5,5
04_082,Depth-First Search,4,0.0208,5,5
04_083,Depth-First Search,4,0.0209,5,5
04_084,Depth-First Search,4,0.0214,5,5
04_085,Depth-First Search,4,0.0210,5,5
04_086,Depth-First Search,4,0.0196,5,5
04_087,Depth-First Search,4,0.0195,5,5
04_088,Depth-First Search,4,0.0312,5,5
04_089,Depth-First Search,4,0.0192,5,5
04_090,Depth-First Search,4,0.0195,5,5
04_091,Depth-First Search,4,0.0213,5,5
04_092,Depth-First Search,4,0.0261,5,5
04_093,Depth-First Search,4,0.0244,5,5
04_094,Depth-First Search,4,0.0187,5,5
04_095,Depth-First Search,4,0.0408,5,5
04_096,Depth-First Search,4,0.0170,5,5
04_097,Depth-First Search,4,0.0171,5,5
04_098,Depth-First Search,4,0.0161,5,5
04_099,Depth-First Search,4,0.0161,5,5
04_100,Depth-First Search,4,0.0218,5,5
08_001,Depth-First Search,8,0.1478,25,25
08_002,Depth-First Search,8,0.0685,13,13
08_003,Depth-First Search,8,1.4988,29,25
08_004,Depth-First Search,8,0.1966,31,29
08_005,Depth-First Search,8,0.2013,25,13
08_006,Depth-First Search,8,0.0981,17,17
08_007,Depth-First Search,8,0.0761,13,13
08_008,Depth-First Search,8,0.0823,13,13
08_009,Depth-First Search,8,0.1769,25,21
08_010,Depth-First Search,8,0.0538,9,9
08_011,Depth-First Search,8,0.0799,11,11
08_012,Depth-First Search,8,0.1636,25,21
08_013,Depth-First Search,8,0.0950,13,13
08_014,Depth-First Search,8,0.0698,13,13
08_015,Depth-First Search,8,0.0788,15,15
08_016,Depth-First Search,8,0.1068,19,17
08_017,Depth-First Search,8,0.0762,21,21
08_018,Depth-First Search,8,0.0996,27,27
08_019,Depth-First Search,8,0.1078,29,29
08_020,Depth-First Search,8,0.0381,9,9
08_021,Depth-First Search,8,0.0805,19,15
08_022,Depth-First Search,8,0.0370,9,9
08_023,Depth-First Search,8,0.0783,19,15
08_024,Depth-First Search,8,0.1279,27,17
08_025,Depth-First Search,8,0.0808,23,23
08_026,Depth-First Search,8,0.0322,9,9
08_027,Depth-First Search,8,0.1062,25,19
08_028,Depth-First Search,8,0.0652,13,13
08_029,Depth-First Search,8,0.0842,21,17
08_030,Depth-First Search,8,0.0313,9,9
08_031,Depth-First Search,8,0.0466,13,13
08_032,Depth-First Search,8,0.1267,31,25
08_033,Depth-First Search,8,0.0728,21,21
