maze_code,search_name,size,runtime,num_explored,num_solution
04_001,Depth-First Search,4,0.0512,6,5
04_002,Depth-First Search,4,0.0070,5,5
04_003,Depth-First Search,4,0.0066,5,5
04_004,Depth-First Search,4,0.0063,5,5
04_005,Depth-First Search,4,0.0084,6,5
04_006,Depth-First Search,4,0.0063,5,5
04_007,Depth-First Search,4,0.0061,5,5
04_008,Depth-First Search,4,0.0058,5,5
04_009,Depth-First Search,4,0.0057,5,5
04_010,Depth-First Search,4,0.0061,5,5
04_011,Depth-First Search,4,0.0058,5,5
04_012,Depth-First Search,4,0.0057,5,5
04_013,Depth-First Search,4,0.0059,5,5
04_014,Depth-First Search,4,0.0058,5,5
04_015,Depth-First Search,4,0.0060,5,5
04_016,Depth-First Search,4,0.1043,11,9
04_017,Depth-First Search,4,0.0319,5,5
04_018,Depth-First Search,4,0.0107,6,5
04_019,Depth-First Search,4,0.0138,9,9
04_020,Depth-First Search,4,0.0077,5,5
04_021,Depth-First Search,4,0.0073,5,5
04_022,Depth-First Search,4,0.0073,5,5
04_023,Depth-First Search,4,0.0071,5,5
04_024,Depth-First Search,4,0.0076,5,5
04_025,Depth-First Search,4,0.0139,9,9
04_026,Depth-First Search,4,0.0082,5,5
04_027,Depth-First Search,4,0.0076,5,5
04_028,Depth-First Search,4,0.0126,9,9
04_029,Depth-First Search,4,0.0079,5,5
04_030,Depth-First Search,4,0.0072,5,5
04_031,Depth-First Search,4,0.0073,5,5
04_032,Depth-First Search,4,0.0073,5,5
04_033,Depth-First Search,4,0.0101,6,5
04_034,Depth-First Search,4,0.0074,5,5
04_035,Depth-First Search,4,0.0122,6,5
04_036,Depth-First Search,4,0.0142,5,5
04_037,Depth-First Search,4,0.0075,5,5
04_038,Depth-First Search,4,0.0119,6,5
04_039,Depth-First Search,4,0.0136,9,9
04_040,Depth-First Search,4,0.0254,11,11
04_041,Depth-First Search,4,0.0077,5,5
04_042,Depth-First Search,4,0.0074,5,5
04_043,Depth-First Search,4,0.0076,5,5
04_044,Depth-First Search,4,0.0126,9,9
04_045,Depth-First Search,4,0.0072,5,5
04_046,Depth-First Search,4,0.0131,9,9
04_047,Depth-First Search,4,0.0078,5,5
04_048,Depth-First Search,4,0.0076,5,5
04_049,Depth-First Search,4,0.0210,11,11
04_050,Depth-First Search,4,0.0078,5,5
04_051,Depth-First Search,4,0.0070,5,5
04_052,Depth-First Search,4,0.0153,11,11
04_053,Depth-First Search,4,0.0151,11,11
04_054,Depth-First Search,4,0.0084,5,5
04_055,Depth-First Search,4,0.0130,9,9
04_056,Depth-First Search,4,0.0438,9,7
04_057,Depth-First Search,4,0.0176,10,9
04_058,Depth-First Search,4,0.0086,5,5
04_059,Depth-First Search,4,0.0146,7,5
04_060,Depth-First Search,4,0.0084,5,5
04_061,Depth-First Search,4,0.0082,5,5
04_062,Depth-First Search,4,0.0083,5,5
04_063,Depth-First Search,4,0.0082,5,5
04_064,Depth-First Search,4,0.0086,5,5
04_065,Depth-First Search,4,0.0186,10,9
04_066,Depth-First Search,4,0.0081,5,5
04_067,Depth-First Search,4,0.0084,5,5
04_068,Depth-First Search,4,0.0140,8,7
04_069,Depth-First Search,4,0.0084,5,5
04_070,Depth-First Search,4,0.0087,5,5
04_071,Depth-First Search,4,0.0113,5,5
04_072,Depth-First Search,4,0.0195,9,9
04_073,Depth-First Search,4,0.0146,5,5
04_074,Depth-First Search,4,0.0107,5,5
04_075,Depth-First Search,4,0.0099,5,5
04_076,Depth-First Search,4,0.0107,5,5
04_077,Depth-First Search,4,0.0151,7,7
04_078,Depth-First Search,4,0.0104,5,5
04_079,Depth-First Search,4,0.0151,7,7
04_080,Depth-First Search,4,0.0111,5,5
04_081,Depth-First Search,4,0.0104,5,5
04_082,Depth-First Search,4,0.0107,7,7
04_083,Depth-First Search,4,0.0174,8,5
04_084,Depth-First Search,4,0.0082,5,5
04_085,Depth-First Search,4,0.0081,5,5
04_086,Depth-First Search,4,0.0082,5,5
04_087,Depth-First Search,4,0.0137,7,5
04_088,Depth-First Search,4,0.0109,6,5
04_089,Depth-First Search,4,0.0103,5,5
04_090,Depth-First Search,4,0.0108,5,5
04_091,Depth-First Search,4,0.0114,5,5
04_092,Depth-First Search,4,0.0109,5,5
04_093,Depth-First Search,4,0.0227,6,5
04_094,Depth-First Search,4,0.0158,7,7
04_095,Depth-First Search,4,0.0222,9,7
04_096,Depth-First Search,4,0.0110,5,5
04_097,Depth-First Search,4,0.0109,5,5
04_098,Depth-First Search,4,0.0108,5,5
04_099,Depth-First Search,4,0.0103,5,5
04_100,Depth-First Search,4,0.0115,5,5
08_001,Depth-First Search,8,0.0743,19,15
08_002,Depth-First Search,8,0.0906,19,11
08_003,Depth-First Search,8,0.0786,27,25
08_004,Depth-First Search,8,0.0308,13,13
08_005,Depth-First Search,8,0.1113,36,27
08_006,Depth-First Search,8,0.0401,17,17
08_007,Depth-First Search,8,0.0498,19,17
08_008,Depth-First Search,8,0.0856,33,31
08_009,Depth-First Search,8,0.1367,43,31
08_010,Depth-First Search,8,0.0212,9,9
08_011,Depth-First Search,8,0.0210,9,9
08_012,Depth-First Search,8,0.0359,15,15
08_013,Depth-First Search,8,0.0905,32,27
08_014,Depth-First Search,8,0.0914,37,37
08_015,Depth-First Search,8,0.1108,42,39
08_016,Depth-First Search,8,0.1035,37,35
08_017,Depth-First Search,8,0.0218,9,9
08_018,Depth-First Search,8,0.1319,43,33
08_019,Depth-First Search,8,0.2083,47,9
08_020,Depth-First Search,8,0.0358,15,15
08_021,Depth-First Search,8,0.0942,34,29
08_022,Depth-First Search,8,0.0345,13,11
08_023,Depth-First Search,8,0.0650,21,17
08_024,Depth-First Search,8,0.0218,9,9
08_025,Depth-First Search,8,0.0210,9,9
08_026,Depth-First Search,8,0.1068,31,17
08_027,Depth-First Search,8,0.0545,23,23
08_028,Depth-First Search,8,0.1449,35,9
08_029,Depth-First Search,8,0.0304,13,13
08_030,Depth-First Search,8,0.0810,31,29
08_031,Depth-First Search,8,0.0301,13,13
08_032,Depth-First Search,8,0.0988,30,19
08_033,Depth-First Search,8,0.1154,39,31
