size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,0.08784700000000001,0.24075332757489323,0.0287,0.042825,0.0601,0.077875,2.4592
4,Depth-First Search,100.0,0.015868,0.016793005277871687,0.0112,0.0114,0.01195,0.0152,0.1708
8,Breadth-First Search,100.0,0.129063,0.07089899153732795,0.0459,0.089475,0.1212,0.1504,0.5554
8,Depth-First Search,100.0,0.10564599999999999,0.11862870640716935,0.0294,0.054825,0.0752,0.118325,0.9493
16,Breadth-First Search,100.0,1.539391,0.6636723041470988,0.3419,1.065625,1.32965,2.08125,3.5936
16,Depth-First Search,100.0,1.352536,1.102375126945946,0.2547,0.671925,1.1656499999999999,1.692225,9.8187
32,Breadth-First Search,100.0,9.502454,5.321671236802411,1.4749,5.714575,8.608,12.6531,33.3392
32,Depth-First Search,100.0,12.05241,6.635815910928916,1.7334,5.987550000000001,11.05115,17.088449999999998,26.5679
64,Breadth-First Search,100.0,94.50554900000002,44.05631661728111,15.9826,58.382725,87.21000000000001,132.817975,180.2404
64,Depth-First Search,100.0,122.059349,74.62365034009464,17.8719,63.45269999999999,106.13755,172.92202500000002,294.1195
