filename,search_name,size,runtime,num_explored,num_solution
04_001,Breadth-First Search,4,2.4592,5,5
04_002,Breadth-First Search,4,0.1160,5,5
04_003,Breadth-First Search,4,0.1098,5,5
04_004,Breadth-First Search,4,0.0928,5,5
04_005,Breadth-First Search,4,0.0856,5,5
04_006,Breadth-First Search,4,0.1148,5,5
04_007,Breadth-First Search,4,0.0881,5,5
04_008,Breadth-First Search,4,0.0930,5,5
04_009,Breadth-First Search,4,0.0659,5,5
04_010,Breadth-First Search,4,0.0827,5,5
04_011,Breadth-First Search,4,0.0599,5,5
04_012,Breadth-First Search,4,0.0599,5,5
04_013,Breadth-First Search,4,0.0972,5,5
04_014,Breadth-First Search,4,0.0751,5,5
04_015,Breadth-First Search,4,0.0667,5,5
04_016,Breadth-First Search,4,0.0710,5,5
04_017,Breadth-First Search,4,0.0642,5,5
04_018,Breadth-First Search,4,0.0855,5,5
04_019,Breadth-First Search,4,0.0913,5,5
04_020,Breadth-First Search,4,0.0651,5,5
04_021,Breadth-First Search,4,0.0546,5,5
04_022,Breadth-First Search,4,0.0573,5,5
04_023,Breadth-First Search,4,0.0733,5,5
04_024,Breadth-First Search,4,0.0775,5,5
04_025,Breadth-First Search,4,0.0563,5,5
04_026,Breadth-First Search,4,0.0731,5,5
04_027,Breadth-First Search,4,0.0542,5,5
04_028,Breadth-First Search,4,0.0572,5,5
04_029,Breadth-First Search,4,0.0513,5,5
04_030,Breadth-First Search,4,0.1228,5,5
04_031,Breadth-First Search,4,0.0833,5,5
04_032,Breadth-First Search,4,0.0725,5,5
04_033,Breadth-First Search,4,0.0844,5,5
04_034,Breadth-First Search,4,0.0884,5,5
04_035,Breadth-First Search,4,0.0886,5,5
04_036,Breadth-First Search,4,0.0711,5,5
04_037,Breadth-First Search,4,0.0719,5,5
04_038,Breadth-First Search,4,0.0687,5,5
04_039,Breadth-First Search,4,0.1556,5,5
04_040,Breadth-First Search,4,0.0615,5,5
04_041,Breadth-First Search,4,0.0517,5,5
04_042,Breadth-First Search,4,0.0519,5,5
04_043,Breadth-First Search,4,0.0698,5,5
04_044,Breadth-First Search,4,0.0580,5,5
04_045,Breadth-First Search,4,0.0962,5,5
04_046,Breadth-First Search,4,0.0709,5,5
04_047,Breadth-First Search,4,0.1301,5,5
04_048,Breadth-First Search,4,0.0414,5,5
04_049,Breadth-First Search,4,0.0645,5,5
04_050,Breadth-First Search,4,0.0610,5,5
04_051,Breadth-First Search,4,0.0548,5,5
04_052,Breadth-First Search,4,0.0790,5,5
04_053,Breadth-First Search,4,0.0658,5,5
04_054,Breadth-First Search,4,0.0603,5,5
04_055,Breadth-First Search,4,0.0563,5,5
04_056,Breadth-First Search,4,0.0626,5,5
04_057,Breadth-First Search,4,0.0567,5,5
04_058,Breadth-First Search,4,0.0700,5,5
04_059,Breadth-First Search,4,0.0898,5,5
04_060,Breadth-First Search,4,0.0930,5,5
04_061,Breadth-First Search,4,0.0586,5,5
04_062,Breadth-First Search,4,0.0419,5,5
04_063,Breadth-First Search,4,0.0854,5,5
04_064,Breadth-First Search,4,0.0566,5,5
04_065,Breadth-First Search,4,0.0573,5,5
04_066,Breadth-First Search,4,0.0396,5,5
04_067,Breadth-First Search,4,0.0519,5,5
04_068,Breadth-First Search,4,0.0414,5,5
04_069,Breadth-First Search,4,0.0388,5,5
04_070,Breadth-First Search,4,0.0393,5,5
04_071,Breadth-First Search,4,0.0480,5,5
04_072,Breadth-First Search,4,0.0403,5,5
04_073,Breadth-First Search,4,0.0420,5,5
04_074,Breadth-First Search,4,0.0367,5,5
04_075,Breadth-First Search,4,0.0348,5,5
04_076,Breadth-First Search,4,0.0431,5,5
04_077,Breadth-First Search,4,0.0645,5,5
04_078,Breadth-First Search,4,0.0449,5,5
04_079,Breadth-First Search,4,0.0413,5,5
04_080,Breadth-First Search,4,0.0380,5,5
04_081,Breadth-First Search,4,0.0388,5,5
04_082,Breadth-First Search,4,0.0550,5,5
04_083,Breadth-First Search,4,0.0356,5,5
04_084,Breadth-First Search,4,0.0395,5,5
04_085,Breadth-First Search,4,0.0483,5,5
04_086,Breadth-First Search,4,0.0510,5,5
04_087,Breadth-First Search,4,0.0334,5,5
04_088,Breadth-First Search,4,0.0471,5,5
04_089,Breadth-First Search,4,0.0330,5,5
04_090,Breadth-First Search,4,0.1019,5,5
04_091,Breadth-First Search,4,0.0330,5,5
04_092,Breadth-First Search,4,0.0697,5,5
04_093,Breadth-First Search,4,0.0410,5,5
04_094,Breadth-First Search,4,0.0333,5,5
04_095,Breadth-First Search,4,0.0340,5,5
04_096,Breadth-First Search,4,0.0287,5,5
04_097,Breadth-First Search,4,0.0638,5,5
04_098,Breadth-First Search,4,0.0325,5,5
04_099,Breadth-First Search,4,0.0341,5,5
04_100,Breadth-First Search,4,0.0354,5,5
08_001,Breadth-First Search,8,0.5554,31,29
08_002,Breadth-First Search,8,0.1342,19,19
08_003,Breadth-First Search,8,0.1908,24,17
08_004,Breadth-First Search,8,0.4416,25,21
08_005,Breadth-First Search,8,0.1203,13,13
08_006,Breadth-First Search,8,0.2445,29,25
08_007,Breadth-First Search,8,0.2249,24,21
08_008,Breadth-First Search,8,0.1873,20,19
08_009,Breadth-First Search,8,0.2635,23,19
08_010,Breadth-First Search,8,0.1398,17,17
08_011,Breadth-First Search,8,0.1222,15,15
08_012,Breadth-First Search,8,0.0995,13,13
