size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Depth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
8,Breadth-First Search,100.0,17.22,5.407775920287416,9.0,13.0,17.0,21.0,29.0
8,Depth-First Search,100.0,17.22,5.407775920287416,9.0,13.0,17.0,21.0,29.0
16,Breadth-First Search,100.0,59.82,19.678414570284872,21.0,45.0,57.0,77.0,101.0
16,Depth-First Search,100.0,59.82,19.678414570284872,21.0,45.0,57.0,77.0,101.0
32,Breadth-First Search,100.0,200.66,74.06252068149564,53.0,156.5,192.0,254.0,373.0
32,Depth-First Search,100.0,200.66,74.06252068149564,53.0,156.5,192.0,254.0,373.0
64,Breadth-First Search,100.0,639.56,250.0957521680951,155.0,446.5,606.0,838.5,1315.0
64,Depth-First Search,100.0,639.56,250.0957521680951,155.0,446.5,606.0,838.5,1315.0
