size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Depth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
8,Breadth-First Search,100.0,19.11,6.413204496910412,9.0,14.0,18.5,25.0,31.0
8,Depth-First Search,100.0,18.94,6.4664167399376185,9.0,13.0,17.0,23.0,31.0
16,Breadth-First Search,100.0,78.85,30.17838379510819,19.0,51.75,81.5,101.0,127.0
16,Depth-First Search,100.0,76.54,29.385428946051384,19.0,51.0,78.0,101.0,125.0
32,Breadth-First Search,100.0,306.21,114.17187955362773,95.0,203.5,317.5,395.0,509.0
32,Depth-First Search,100.0,306.88,116.17430999592939,85.0,219.5,305.0,405.5,511.0
64,Breadth-First Search,100.0,1140.17,497.5319299433267,265.0,757.75,1087.5,1560.75,2024.0
64,Depth-First Search,100.0,1084.46,500.98358649699685,217.0,674.5,1059.0,1500.5,2043.0
