size,search_name,count,mean,std,min,25%,50%,75%,max
4,A* Search,100.0,6.59,1.3264595544135334,5.0,5.0,7.0,8.0,9.0
4,Breadth-First Search,100.0,8.04,2.034649350575666,5.0,6.0,8.0,9.0,14.0
4,Depth-First Search,100.0,5.85,1.4168894655461863,5.0,5.0,5.0,7.0,12.0
8,A* Search,100.0,16.51,5.164945950023743,9.0,13.0,16.0,19.0,31.0
8,Breadth-First Search,100.0,32.71,7.498545313471262,14.0,28.0,33.0,39.0,45.0
8,Depth-First Search,100.0,23.66,10.457436578721373,9.0,14.75,21.0,31.5,43.0
16,A* Search,100.0,47.56,20.93777216014882,18.0,34.75,41.5,55.0,122.0
16,Breadth-First Search,100.0,148.32,21.95858360503687,84.0,138.0,152.5,164.0,186.0
16,Depth-First Search,100.0,93.4,51.275449458505165,17.0,44.0,99.0,140.25,171.0
32,A* Search,100.0,131.72,50.40023248302962,71.0,93.75,116.0,156.25,325.0
32,Breadth-First Search,100.0,611.71,76.29094959363783,396.0,570.0,631.5,672.25,701.0
32,Depth-First Search,100.0,316.41,212.13118177870098,37.0,112.25,270.5,542.25,664.0
64,A* Search,100.0,440.14,200.29866689420567,173.0,290.0,376.0,574.0,1125.0
64,Breadth-First Search,100.0,2466.83,317.9430752366044,1391.0,2283.75,2589.5,2717.0,2805.0
64,Depth-First Search,100.0,1449.08,850.7027953760384,71.0,692.75,1585.5,2239.25,2790.0
