size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,0.021932000000000004,0.07715461438703534,0.012,0.0126,0.0129,0.0139,0.7835
4,Depth-First Search,100.0,0.058203,0.23491996636507873,0.0175,0.02475,0.032549999999999996,0.038925,2.378
8,Breadth-First Search,100.0,0.05630300000000001,0.021003926785342793,0.0243,0.041525,0.05245,0.07039999999999999,0.1263
8,Depth-First Search,100.0,0.078465,0.03769297385160499,0.0289,0.054,0.0676,0.1033,0.2314
16,Breadth-First Search,100.0,0.868201,0.39147130898261967,0.2128,0.563125,0.82645,1.095825,1.9934
16,Depth-First Search,100.0,0.935881,0.5275574418808234,0.211,0.5023500000000001,0.87275,1.2298,2.8886
32,Breadth-First Search,100.0,7.802820999999999,3.29188858729616,2.3003,4.8983,8.05425,9.607575,20.3175
32,Depth-First Search,100.0,10.680991,5.575500627793368,2.0306,6.294,10.23545,14.10755,24.7476
64,Breadth-First Search,100.0,82.70089499999999,36.50641555555439,19.2599,53.8617,79.8106,112.223275,155.9364
64,Depth-First Search,100.0,109.62030600000001,66.06066594439183,16.4207,62.903175,92.37555,159.290325,272.7745
