size,search_name,count,mean,std,min,25%,50%,75%,max
4,A* Search,100.0,0.012126,0.011009891053507342,0.0064,0.0096,0.0109,0.0122,0.1166
4,Breadth-First Search,100.0,0.014247999999999999,0.012028967393989252,0.0062,0.01035,0.01225,0.014725,0.1241
4,Depth-First Search,100.0,0.012364,0.011590910057437075,0.0057,0.0076,0.01,0.013225,0.1043
8,A* Search,100.0,0.051841000000000005,0.01773305476541285,0.0239,0.042300000000000004,0.04795,0.059,0.1567
8,Breadth-First Search,100.0,0.10109499999999999,0.02147218249764381,0.0361,0.0858,0.10625,0.11557500000000001,0.1615
8,Depth-First Search,100.0,0.06818400000000001,0.04391242598121351,0.021,0.030475,0.05575,0.103125,0.2083
16,A* Search,100.0,0.35873399999999994,0.11474694531265683,0.173,0.27665,0.32895,0.428775,0.8308
16,Breadth-First Search,100.0,1.1873479999999998,0.2148695716574183,0.8005,1.073925,1.1853,1.2607,2.1835
16,Depth-First Search,100.0,0.8760219999999999,0.5599361681838423,0.1144,0.336275,0.85955,1.297075,2.2619
32,A* Search,100.0,3.158297,1.2551518656116813,1.1875,2.287575,2.8354,3.660425,9.7753
32,Breadth-First Search,100.0,16.606894999999998,1.8690159494958025,10.9227,15.4985,16.8121,17.828425,21.197
32,Depth-First Search,100.0,11.522386,8.75923771404311,0.8072,3.7433500000000004,10.13535,18.1556,38.2037
64,A* Search,100.0,30.985383000000002,15.507385989882469,12.185,22.6486,27.70995,34.873075,116.7476
64,Breadth-First Search,100.0,194.71792100000002,19.232771287572145,135.4348,182.934525,198.7695,209.60035,231.5594
64,Depth-First Search,100.0,154.75365099999996,114.46567787930134,4.7018,56.74912500000001,130.87075,236.347975,431.8682
