size,search_name,count,mean,std,min,25%,50%,75%,max
4,A* Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Breadth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Depth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
8,A* Search,100.0,16.48,5.450382249591919,9.0,13.0,17.0,21.0,29.0
8,Breadth-First Search,100.0,16.48,5.450382249591919,9.0,13.0,17.0,21.0,29.0
8,Depth-First Search,100.0,16.48,5.450382249591919,9.0,13.0,17.0,21.0,29.0
16,A* Search,100.0,58.88,21.32730975566636,17.0,44.5,57.0,75.0,113.0
16,Breadth-First Search,100.0,58.88,21.32730975566636,17.0,44.5,57.0,75.0,113.0
16,Depth-First Search,100.0,58.88,21.32730975566636,17.0,44.5,57.0,75.0,113.0
32,A* Search,100.0,199.32,65.75726406852536,51.0,150.5,204.0,248.0,343.0
32,Breadth-First Search,100.0,199.32,65.75726406852536,51.0,150.5,204.0,248.0,343.0
32,Depth-First Search,100.0,199.32,65.75726406852536,51.0,150.5,204.0,248.0,343.0
64,A* Search,100.0,691.28,238.04558089966423,181.0,509.0,685.0,854.0,1211.0
64,Breadth-First Search,100.0,691.28,238.04558089966423,181.0,509.0,685.0,854.0,1211.0
64,Depth-First Search,100.0,691.28,238.04558089966423,181.0,509.0,685.0,854.0,1211.0
