size,search_name,count,mean,std,min,25%,50%,75%,max
4,Breadth-First Search,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
4,Depth-First Search,100.0,6.52,2.2041283579187985,5.0,5.0,5.0,9.0,13.0
8,Breadth-First Search,100.0,9.66,1.2078865422670704,9.0,9.0,9.0,11.0,13.0
8,Depth-First Search,100.0,26.2,12.958363782483955,9.0,13.0,27.0,37.5,51.0
16,Breadth-First Search,100.0,18.68,2.0443566076871083,17.0,17.0,17.0,21.0,25.0
16,Depth-First Search,100.0,94.0,55.498111715989076,17.0,38.5,99.0,147.0,191.0
32,Breadth-First Search,100.0,38.12,5.135103984272657,33.0,33.0,37.0,41.0,55.0
32,Depth-First Search,100.0,371.54,244.5476310218192,33.0,107.5,424.0,602.5,725.0
64,Breadth-First Search,100.0,73.4,8.17979773032872,65.0,67.0,71.0,77.5,105.0
64,Depth-First Search,100.0,1507.6,988.0132293720268,73.0,620.0,1450.0,2387.0,2915.0
